                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5241,                 1.7924,                  1.272,                0.56966,                0.70455,                0.64134,                0.28693,                 1.6232,                 4.1826,                0.96241,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5275,                 1.7263,                 1.2475,                0.50295,                0.65909,                 0.5725,                0.25465,                 1.7733,                  4.342,                0.99717,               0.000713,               0.000713,               0.000713
                     67,                 1.5339,                 1.7944,                 1.2549,                0.52297,                0.59091,                0.53517,                0.22963,                 1.7795,                 4.3627,                0.99482,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5732,                 1.7915,                 1.2433,                0.46419,                0.63636,                0.49738,                0.19817,                 1.7862,                 4.5614,                0.98188,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5372,                 1.7268,                  1.246,                0.53207,                0.61364,                0.57845,                0.26932,                 1.7487,                 4.3132,                0.95829,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4578,                 1.6898,                 1.1935,                0.66903,                0.61364,                0.65887,                 0.2931,                 1.7563,                 4.4729,                0.97798,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4743,                 1.6708,                 1.1894,                0.56094,                0.63883,                 0.6339,                0.23492,                 1.7914,                 4.4637,                 1.0085,               0.000614,               0.000614,               0.000614
                     72,                 1.4571,                 1.6881,                 1.1905,                0.59224,                0.59091,                 0.5688,                0.22968,                 1.8268,                  4.454,                 1.0194,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.493,                 1.6293,                 1.1983,                0.64752,                0.58463,                0.60302,                0.22537,                    1.7,                 4.5328,                 1.0106,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4196,                 1.7004,                 1.1898,                0.64178,                0.65161,                 0.6067,                0.23488,                 1.7297,                 4.5081,                 1.0065,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3954,                 1.6493,                 1.1785,                0.54872,                 0.6356,                0.51916,                0.21846,                 1.8108,                 4.5682,                 1.0353,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3954,                 1.6072,                 1.1368,                0.55859,                0.65909,                0.57947,                 0.2486,                 1.7954,                 4.6402,                 1.0026,               0.000515,               0.000515,               0.000515
                     77,                 1.4707,                 1.6606,                 1.1762,                0.62338,                0.61364,                0.62888,                0.27668,                 1.7793,                 4.6218,                 1.0317,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.5032,                 1.6352,                 1.2279,                0.67798,                0.56818,                0.65925,                 0.2599,                 1.7532,                 4.6649,                 1.0211,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4168,                 1.6025,                 1.1496,                0.72569,                 0.6014,                0.63149,                0.28049,                 1.7424,                 4.5425,                0.99916,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3881,                 1.5884,                 1.1408,                0.71334,                0.56818,                 0.6247,                0.26916,                 1.7061,                  4.592,                 0.9776,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3583,                 1.6009,                 1.1531,                 0.7002,                0.58403,                0.64503,                0.27176,                 1.6562,                 4.5395,                 0.9693,               0.000416,               0.000416,               0.000416
                     82,                 1.3743,                 1.6351,                 1.1688,                0.74701,                0.65909,                  0.627,                0.29882,                 1.5835,                 4.4689,                0.96593,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4139,                 1.6395,                  1.184,                0.78848,                0.65909,                0.71724,                0.30441,                 1.5353,                 4.5123,                0.95785,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3539,                 1.5819,                 1.1519,                0.73349,                0.65909,                0.70608,                0.30897,                 1.5585,                 4.5278,                0.96753,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3029,                 1.5495,                 1.1007,                0.74862,                0.61364,                0.66938,                 0.3117,                 1.5459,                 4.4877,                0.96436,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2955,                 1.5385,                 1.1463,                0.72292,                0.56818,                0.63638,                0.30994,                 1.5631,                 4.5374,                0.94534,               0.000317,               0.000317,               0.000317
                     87,                 1.3948,                 1.5086,                 1.1367,                0.72576,                0.60162,                0.64247,                0.29592,                 1.6363,                  4.472,                0.96177,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3819,                 1.5765,                   1.15,                0.69349,                0.63636,                0.63688,                0.29564,                 1.6548,                 4.4814,                0.96875,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3356,                 1.5087,                 1.1004,                 0.6981,                0.61364,                0.59796,                0.27472,                 1.6743,                 4.5404,                0.98831,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.352,                 1.5001,                 1.1243,                0.69579,                0.59091,                0.64368,                 0.2822,                  1.729,                 4.6616,                 1.0005,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3733,                 1.5628,                 1.1855,                0.72048,                0.58593,                0.64501,                0.30065,                 1.7149,                 4.5712,                0.97894,               0.000218,               0.000218,               0.000218
                     92,                 1.3708,                 1.6149,                 1.1582,                0.72483,                 0.5988,                0.64697,                0.30757,                 1.7078,                 4.5744,                0.96846,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2915,                  1.505,                 1.1113,                 0.6937,                0.61364,                0.65774,                0.30047,                 1.6715,                 4.5546,                0.95425,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.271,                 1.5126,                 1.1057,                0.73283,                0.61364,                0.66147,                0.31336,                 1.6322,                 4.4177,                0.93903,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3272,                 1.4905,                 1.1303,                0.77187,                0.61364,                0.67688,                0.32134,                 1.5703,                 4.3801,                0.92586,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3108,                 1.4926,                 1.1094,                0.77388,                0.61364,                0.68221,                0.32672,                 1.5679,                 4.4459,                0.93597,               0.000119,               0.000119,               0.000119
                     97,                  1.315,                  1.506,                 1.1241,                0.78061,                0.64709,                0.69331,                0.33303,                 1.5849,                 4.4466,                0.94961,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2798,                 1.4823,                 1.0955,                0.81467,                0.61364,                0.69198,                0.32508,                 1.5908,                 4.4003,                 0.9509,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.3231,                 1.4989,                 1.1131,                0.75016,                0.61416,                0.69659,                0.31694,                 1.5952,                 4.3568,                0.94858,               5.96e-05,               5.96e-05,               5.96e-05
